Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Source title,Cited by,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,EID
151.0,"MS Ferdous, F Chowdhury, MO Alassafi",In search of self-sovereign identity leveraging blockchain technology,2019.0,IEEE access,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8776589/,"https://scholar.google.com/scholar?cites=13872550606688522792&as_sdt=2005&sciodt=0,5&hl=en",2.0,2023-03-11 16:21:20,,,,,,,,,151.0,37.75,50.0,3.0,4.0,"… identity. Furthermore, we explore different aspects of identity management concerning self-sovereign identity and envision their corresponding use-cases utilizing blockchain technology…",https://ieeexplore.ieee.org/iel7/6287639/8600701/08776589.pdf,"https://scholar.google.com/scholar?q=related:KJJM4EYzhcAJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,
33.0,"M Shuaib, NH Hassan, S Usman, S Alam…",Self-sovereign identity solution for blockchain-based land registry system: a comparison,2022.0,Mobile Information …,hindawi.com,https://www.hindawi.com/journals/misy/2022/8930472/,"https://scholar.google.com/scholar?cites=17783313178444983785&as_sdt=2005&sciodt=0,5&hl=en",4.0,2023-03-11 16:21:20,HTML,,,,,,,,33.0,33.0,7.0,5.0,1.0,"… self-sovereign identity” AND “identity management “) OR (“self-sovereign identity” AND “Blockchain” AND “identity … of digital identity, and self-sovereign identity and blockchain are also …",https://www.hindawi.com/journals/misy/2022/8930472/,"https://scholar.google.com/scholar?q=related:6W28oh0Fy_YJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,
91.0,"B Houtan, AS Hafid, D Makrakis",A survey on blockchain-based self-sovereign patient identity in healthcare,2020.0,IEEE Access,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9091543/,"https://scholar.google.com/scholar?cites=11855806629162688939&as_sdt=2005&sciodt=0,5&hl=en",6.0,2023-03-11 16:21:20,,,,,,,,,91.0,30.33,30.0,3.0,3.0,"… On the other hand, Self-Sovereign identity and the right to control personal data comes into … health and identity records. In this paper, we review the state-of-the-art in Blockchain (BC)-…",https://ieeexplore.ieee.org/iel7/6287639/8948470/09091543.pdf,"https://scholar.google.com/scholar?q=related:q6H2gFBJiKQJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,
22.0,"V Schlatt, J Sedlmeir, S Feulner, N Urbach",Designing a framework for digital KYC processes built on blockchain-based self-sovereign identity,2022.0,Information &Management,Elsevier,https://www.sciencedirect.com/science/article/pii/S0378720621001270,"https://scholar.google.com/scholar?cites=7367092533184079866&as_sdt=2005&sciodt=0,5&hl=en",13.0,2023-03-11 16:21:20,,,,,,,,,22.0,22.0,6.0,4.0,1.0,… While blockchain technology is often mentioned as a … We demonstrate how blockchain-based self-sovereign identity (SSI) … design principles that theorize on blockchain’s role for SSI. …,https://arxiv.org/pdf/2112.01237,"https://scholar.google.com/scholar?q=related:-qfeW6ArPWYJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,
109.0,"Q Stokkink, J Pouwelse",Deployment of a blockchain-based self-sovereign identity,2018.0,… on Internet of Things (iThings) and …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8726562/,"https://scholar.google.com/scholar?cites=2242676552786779252&as_sdt=2005&sciodt=0,5&hl=en",7.0,2023-03-11 16:21:20,,,,,,,,,109.0,21.8,55.0,2.0,5.0,"… of Self-Sovereign Identity are intrinsically provided by leveraging a personalized blockchain … By leveraging such a personalized blockchain structure, we can determine the properties …",https://arxiv.org/pdf/1806.01926,"https://scholar.google.com/scholar?q=related:dBz0SnGWHx8J:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,
58.0,"N Naik, P Jenkins",Self-Sovereign Identity Specifications: Govern your identity through your digital wallet using blockchain technology,2020.0,2020 8th IEEE International Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9126742/,"https://scholar.google.com/scholar?cites=7692972286052087920&as_sdt=2005&sciodt=0,5&hl=en",10.0,2023-03-11 16:21:20,,,,,,,,,58.0,19.33,29.0,2.0,3.0,… uPort Self-Sovereign Identity uPort is an open source framework for delivering a decentralized identity for a self-sovereign identity. Based on the public permissionless blockchain …,https://publications.aston.ac.uk/id/eprint/41998/1/SSI_Specifications_uPort_SovrinDrNitinNaik.pdf,"https://scholar.google.com/scholar?q=related:cDgP-YjtwmoJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,
57.0,"N Naik, P Jenkins",uPort open-source identity management system: An assessment of self-sovereign identity and user-centric data platform built on blockchain,2020.0,2020 IEEE International Symposium on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9272223/,"https://scholar.google.com/scholar?cites=13823302127497107561&as_sdt=2005&sciodt=0,5&hl=en",11.0,2023-03-11 16:21:20,,,,,,,,,57.0,19.0,29.0,2.0,3.0,… uPort is an open-source framework for delivering a decentralized identity for a self-sovereign identity [11]. It is based on the public permissionless blockchain Ethereum and utilises its …,https://publications.aston.ac.uk/id/eprint/42147/1/uPort_SSI_DrNitinNaik.pdf,"https://scholar.google.com/scholar?q=related:adhdxAs81r8J:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,
125.0,DS Baars,Towards self-sovereign identity using blockchain technology,2016.0,,essay.utwente.nl,http://essay.utwente.nl/71274,"https://scholar.google.com/scholar?cites=16731945986446691832&as_sdt=2005&sciodt=0,5&hl=en",3.0,2023-03-11 16:21:20,,,,,,,,,125.0,17.86,125.0,1.0,7.0,"… Chapter 3 is about blockchain technology. We will continue explaining about … for identity management can look like. In chapter 5, we will design a new solution for self-sovereign identity. …",http://essay.utwente.nl/71274/1/Baars_MA_BMS.pdf,"https://scholar.google.com/scholar?q=related:-I0tmznQM-gJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,
35.0,"M Shuaib, S Alam, MS Alam, MS Nasir",Self-sovereign identity for healthcare using blockchain,2021.0,Materials Today: Proceedings,Elsevier,https://www.sciencedirect.com/science/article/pii/S2214785321021027,"https://scholar.google.com/scholar?cites=1782046568281951533&as_sdt=2005&sciodt=0,5&hl=en",1.0,2023-03-11 16:21:20,,,,,,,,,35.0,17.5,9.0,4.0,2.0,… Self-sovereign identity enables patients to have full power over their identity and the existence of … so interconnected that the self-sovereign identity is as important as physical identity. …,https://www.academia.edu/download/67323286/28_1_s2.0_S2214785321021027_main.pdf,"https://scholar.google.com/scholar?q=related:LU2mg-kZuxgJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,
62.0,"D Van Bokkem, R Hageman, G Koning…",Self-sovereign identity solutions: The necessity of blockchain technology,2019.0,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/1904.12816,"https://scholar.google.com/scholar?cites=380991817515401505&as_sdt=2005&sciodt=0,5&hl=en",5.0,2023-03-11 16:21:20,,,,,,,,,62.0,15.5,16.0,4.0,4.0,"… We conclude that blockchain technology is not explicitly required for a Self-Sovereign Identity … to build up on, due to various technical advantages that the blockchain has to offer. …",https://arxiv.org/pdf/1904.12816,"https://scholar.google.com/scholar?q=related:IQFWGQqOSQUJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,
